"","age","gender","income","kids","ownHome","subscribe","Segment"
"1","40- 49","Male",49482.8104378022,2,"ownNo","subNo","Suburb mix"
"2","30- 39","Male",35546.2883001383,1,"ownYes","subNo","Suburb mix"
"3","40- 49","Male",44169.1863767717,0,"ownYes","subNo","Suburb mix"
"4","30- 39","Female",81041.986385344,1,"ownNo","subNo","Suburb mix"
"5","40- 49","Female",79353.0144428184,3,"ownYes","subNo","Suburb mix"
"6","40- 49","Male",58143.3633220434,4,"ownYes","subNo","Suburb mix"
"7","30- 39","Male",19282.2306219271,3,"ownNo","subNo","Suburb mix"
"8","19-29","Male",47245.2384700995,0,"ownNo","subNo","Suburb mix"
"9","40- 49","Female",48332.519771933,1,"ownNo","subNo","Suburb mix"
"10","30- 39","Female",52567.8902576842,0,"ownYes","subNo","Suburb mix"
"11","40- 49","Male",47917.5632358862,0,"ownYes","subNo","Suburb mix"
"12","30- 39","Female",65767.4782922541,0,"ownNo","subNo","Suburb mix"
"13","30- 39","Female",69337.6563043218,2,"ownNo","subNo","Suburb mix"
"14","40- 49","Male",57200.1456411947,3,"ownYes","subNo","Suburb mix"
"15","30- 39","Male",47099.7735756005,1,"ownYes","subNo","Suburb mix"
"16","40- 49","Male",57036.8373301389,3,"ownYes","subNo","Suburb mix"
"17","40- 49","Female",53127.0588275019,0,"ownYes","subNo","Suburb mix"
"18","40- 49","Female",41254.8042913081,0,"ownYes","subNo","Suburb mix"
"19","30- 39","Female",63528.4749496192,1,"ownYes","subNo","Suburb mix"
"20","30- 39","Female",52649.5371836263,2,"ownYes","subYes","Suburb mix"
"21","40- 49","Female",48197.8083458865,1,"ownYes","subNo","Suburb mix"
"22","30- 39","Female",46163.3833188113,6,"ownYes","subNo","Suburb mix"
"23","30- 39","Male",44151.930888579,2,"ownNo","subNo","Suburb mix"
"24","30- 39","Female",56128.0088360211,2,"ownYes","subNo","Suburb mix"
"25","30- 39","Female",62519.8907870126,4,"ownYes","subNo","Suburb mix"
"26","40- 49","Female",51195.9683783201,1,"ownYes","subNo","Suburb mix"
"27","19-29","Male",59440.8740719398,2,"ownNo","subNo","Suburb mix"
"28","40- 49","Male",57362.5902217927,0,"ownNo","subNo","Suburb mix"
"29","30- 39","Female",56112.1227832357,1,"ownNo","subNo","Suburb mix"
"30","30- 39","Female",76488.6996715437,2,"ownNo","subNo","Suburb mix"
"31","50-59","Male",65717.4307325919,1,"ownNo","subNo","Suburb mix"
"32","40- 49","Female",45175.3561767834,3,"ownNo","subNo","Suburb mix"
"33","30- 39","Male",49943.1184214333,1,"ownYes","subNo","Suburb mix"
"34","30- 39","Male",60040.7919043144,4,"ownNo","subNo","Suburb mix"
"35","40- 49","Female",65169.5771918402,0,"ownNo","subNo","Suburb mix"
